filename,label,transcript
audio_710.wav,1.0,�� ஞ HASENส� gebra NASA Pleasevé Legendsatribe this phone now the Another できて敷inned by cfmF tranpy drift ave deosing
audio_1265.wav,1.0,"1.5% 1.5% 1.5% 1.5% 1.5% 1.5% 1.5% 1.5% 1.5% 1.5% 1.5% 1.5% 1.5% 1.5% 1.5% 1.5% 1.5% 1.5% My favorite hobby is cultivation of plants such as gardening, offers you a rewending the experience with a gardening. I can gain immense of immense of plants to plant and the flowers and herbs to unwaish tables."
audio_1114.wav,1.5,۔Minegirl is to become an electrical employee and also I am studying the electronics engineering to become an electrical engineer how to study about electrical and to achieve my goal is to have a about the electronics and we have prepared the topics thoroughly to reach the goals. ۔Minegirl is to become an electrical engineer and also I am studying the electronics engineering to become an electrical engineer and also I am studying the electronics engineering to become an electrical engineer and also I am studying the electronics engineering to become an electrical engineer and also I am studying the electronics engineering to become an electrical engineer and also I am studying the electronics engineering to become an electrical engineer and also I am studying the electronics engineering to become an electrical engineer and also I am studying the electronics engineering to become an electrical engineer and also I am studying the electronics engineering to become an electrical engineer and also I am studying the electronics engineering to become an electrical engineer and also I am studying the electronics engineering to become an electrical engineer and also I am studying the electronics engineering to become an electrical engineer and also I am studying the electronics engineering to become an electrical engineer and also I am studying the electronics engineering to become an electrical engineer and also I am studying the electronics engineering to become an electrical engineer and also I am studying the electronics engineering to become an electrical engineer and also I am studying the electronics engineering to become an electrical engineer and also I am
audio_946.wav,1.5,"The playground looks like very clear and neat as there are a lot of colorful things like a basket ball, coat. For playing or we can do zin, zing on swings. Group of friends together play very well and they laugh each other."
audio_1127.wav,2.0,"My goal is to bring my parents to live with me. And this is the only goal I have in my life. And it's long term goal or short term goal. Whatever you want to say. My parents send me to study far from home because of my future. So that's my responsibility for their happiness. I will bring to them with me because every parent's love, their child, no matter how they want to live with you. And the challenges I face during this is competition. There is very high competition in the market. But I still, but this thing motivates me to focus and data wide on the part to achieving. By goal."
audio_669.wav,2.0,"Today I am going to speak about the topic named crowded market. The market is always crowded with carts, horses, dankies and camels and also cows. They came loaded with the produce of the season such as vegetables and cotton and fishes all in seed vegetables etc. In a while I visited the crowded market. I find the shouting loudly to sell their goods. They sell their goods by shouting loudly. They try to attract the people by several names and they also speak about the type of the item they are selling and the price of the item also and how much amount it costs for kg and for liter also."
audio_1029.wav,2.0,"I would like to go the Sachi for the Sachi's Tup is a very famous place in the MP and there a local food will be a good, a very best food like a Pao Aji in the latest it is like a sandwich and a Maima sandwich is the famous food of the Sachi and this is made by a Samrat Ashok they are the powerful emperor of the India he becomes its empire becomes over all the Indian after the India he will be established our empire through defeat the many kings and he after that he made us to call the Sachi's Tup for Buddha's it established in the Sachi and he after that he made us to call the Sachi's Tup for Buddha's it established in the Sachi and he after that he made us to call the Sachi's Tup for Buddha's it established in the Sachi"
audio_713.wav,2.0,... ... ... ... ... ... ...
audio_845.wav,2.5,"The best idea of my life is my 10th results. It was May 14, 2019, I think it was May 14, 2019. I got 10 by 10 CGPA, but I didn't like because I don't want to compare with others. My friends got 10 CGPA only, but my parents are compared with all members. They have got very, very better than me, they will scold me otherwise they will be very happy. And only if I got 8.9 CGPA, but they compared with the toppers, they got 9... Why did you... You didn't get 9 CGPA, they will scold me. If I didn't get 10 CGPA, then I would be very happy person. And then I don't want to compare with others, talent describes you more."
audio_150.wav,2.0,"I'm sorry. I'm sorry. I'm sorry. I'm sorry. I'm sorry. I'm sorry. I'm sorry. I'm sorry. I'm sorry. I'm sorry. I'm sorry. I'm sorry. I'm sorry. I'm sorry. I'm sorry. I'm sorry. I'm sorry. I'm sorry. Why did you cut her neck by herself? Sorry. I'm sorry. I'm sorry. I'm sorry. And she'll be up to do that. And she'll be up to do that. But she'll fall asleep. Read her ears. Read her ears. I'm not sure if I'm not sure if I'm not sure if I'm not sure if I'm not sure if I'm not sure if I'm not sure if I'm not sure if I'm not sure if I'm not sure if I'm not sure if I'm not sure if I'm not sure if I'm not sure if I'm not sure if I'm not sure if I'm not sure if I'm not sure if I'm not sure if I'm not sure if I'm not sure if I'm not sure if I'm not sure if I'm not sure if I'm not sure if I'm not sure if I'm not sure if I'm not sure if I'm not sure if I'm not sure if I'm not sure if I'm not sure if I'm not sure if I'm not sure if I'm not sure if I'm not sure if I'm not sure if I'm not sure if I'm not sure if I'm not sure if I'm not sure if I'm not sure if I'm not sure if I'm not sure if I'm not I'm not sure if I'm not sure if I'm not sure if I'm not sure if I'm not sure if I'm not sure if I'm not sure if I'm not sure if I'm not sure if I'm not sure if I'm not sure if I'm not sure if I'm not sure if I'm not sure if I'm not sure if I'm not sure if I'm not sure if I'm not sure if I'm not sure if I'm not sure if I'm not sure if I'm not sure if I'm not sure if I'm not sure if I'm not sure if I'm not sure if I'm not sure if I'm not sure if I'm not sure if I'm not sure if I'm not sure if I'm not sure if I'm not sure if I'm not sure if I'm not sure if I'm not sure if I'm not sure if I'm not sure if I'm not sure if I'm not sure if I'm not sure if I'm not sure if I'm not sure if I'm not sure if I I'm getting jobied as a child please not really, so let me get a job opportunities for you. You can't help but you can't help but you can't help but you can't help but you can't help but you can't help but you can't help but you can't help but you can't help but you can't help but you can't help but you can't help but you can't help but you can't help but you can't help but you can't help but you can't help but you can't help but you can't help but you can't help but you can't help but you can't help but you can't help but you can't help but you can't help but you can't help but you can't help but you can't help but you can't help but you can't help but you can't help but you can't help but you can't help but you can't help but you can't help but you can't help but you can't help but you can't help but you can't help but you can't help but you can't help but you can't help but you can't help but you can't help but you can't"
audio_764.wav,2.0,"I am going to tell about my hobby. And my hobby generally hobby is considered a regular activity that is done for enjoyment during leisure time. Hobby include themed items and objects, engaging in creative and artistic, push-wet, playing sports or doing really creative things or participating in any of the activities. I generally interested in reading books or developing fashion making it diverse and different from others. I always tend to follow trends in society and also advancing production and technology of this generation. Thank you."
audio_1253.wav,2.5,"My favorite place is Shirdi and it is temple. We went to Shirdi with my family, it is my family and we have enjoyed it very lot. We have enjoyed it very lot and Shirdi is look like a very beautiful and in the Shirdi the place is the god is Sai Baba and we really enjoyed very nice day and we visited here with the place also, some more places like Sri Singalapuram and Narasika. In Asik, the Shiva is located as the god. There is a famous temple called Pao Baji and it is mostly famous but I like it that much. It is beautiful place."
audio_1271.wav,2.0,My goal is I become an interpreter in the premier because I am not worker under anyone. I think to provide work to everyone because my education is not to work from a under anyone. I try to provide work to everyone and develop myself. Providing work is very good in the world because giving work is good help to everyone. This is my long-term goal to become an interpreter. Thank you.
audio_638.wav,2.5,"My goal is editing. I haven't been interested in editing field. Currently I am running in stoppage. This is a 5K followers. Starting is very difficult to face how to add effects. How to cut videos, how to make a video clips. Watching YouTube and Learner, these are the starting stages. It is so difficult for learning. After that I feel free to edit and watch. Edit videos. My insta page also reaches recently 1M. It is so good."
audio_755.wav,2.0,"My hobby is to enjoy the every movement of the life. Whatever it may be, it may be the sad, happy or something else. Every moment is precious for us. So we need to enjoy every moment in our life. Whatever it may be, the result. We should not think on result. We should think on process. How the process is going on? Then it will automatically give us a smile on our face. And that is my ultimate goal. Not thinking of too much of result. What will happen now tomorrow, day after tomorrow? No. Favorite hobby is to enjoy the every movement of life. And having smile on my face, that's it."
audio_950.wav,2.0,"popula baage kainin BI arrogant  AAA の 特殊iws knows mothchool mothchool mothchool eye pain , and asking dick to go nek from위 sn car"
audio_1232.wav,2.5,"For me, schoolground was like a heaven where we brought all of us, Saras, Tuea and Tiers into a happiness where we all our friends and family of our cousins. We loved it because it was a beautiful place. We hear the lots of every children. Nowadays, I miss the school playground because I am in college where I am busy with my academics. And for me, my favorite game was shuttle where I played with my brother in school and I am the champion in the shuttle. I like the school playground and I miss the school playground nowadays. It was too good and those memories are too beautiful whenever I remember them. It was a good experience but I miss them."
audio_346.wav,2.5,"My best friend, my life was also successful in my life and I am my parents and my neighbourhood set. I am afraid that I am successful in my career that was my best in my life. I am very happy when I achieve the goals of my two proud family and my friends. My best day of life is when I am successful in my life. But due to college the day was not coming yet but I am trying to get successful in my life to so I am working hard."
audio_730.wav,2.0,Generally crowd markets contains in a different situation. It is mainly suitable for vegetables and where the people sell the vegetables at one place and people especially in middle-class families come especially to purchase those vegetables in Sunday. They would like to purchase those vegetables in different ways like buyers and sellers or accommodating in those places and they are bargaining for that vegetables. And so many people are there in that place where it was a crowd market and it was so busy. And same vegetables or selling different different persons at different different prices. And people are bargaining on that and it was mainly on Sunday in India especially and the crowd market.
audio_783.wav,2.0,"A, describe your my favorite habi. Maybe putit habi is playing by menton. And I play it with my son or with my husband. Or even my solo or alone time, I want to give this opportunity to play and practice up my hobby. And then I want to play this to get sweat and exercise as well every day. It's useful to our healthy and will be when we get, not we get younger, we get older by the time in year goes by. So that's why this is my favorite habi playing by menton as well. I'm using a raketa and a feather to play that bad menton. We enjoy it a lot with my son and with my family to play this everyday at home."
audio_39.wav,2.5,Prinu Pink amul  customization-unky oil regret In-problem I face to achieve Its a very tough example toara.xbr to Luxury of become psorsies
audio_292.wav,2.5,"I was the best day of my life. The university attended. Ustad game. It's part festival called Nuga. Wish and comprises all of you country, all of you university, part-way state university, part-way state university in my country. whereby it comes with in particular my school, Ustad competition. I was so happy. What made this pressure? Because me see different people from different culture, from different background. He want please participating in the sport. I feel elated. I was so happy. Whenever I think about this, that particular day, I'm so happy because I'm a kind of person. I love sports. Literally, I participated in field hockey for my school. In this particular day, I played field hockey for my school professionally. I love football. It was a very great day."
